ModelSim Parent Window: ModelSim - INTEL FPGA STARTER EDITION 2020.1
HWND: 1119804
Size: 2011x1236
Position: (436, 107)

Total child windows: 589

========================================================================================================================

All child windows (sorted by size):
  #       HWND Class                                    Title                          Size            Position             Area      
--------------------------------------------------------------------------------------------------------------------------------------------
187    1580078 TkChild                                                                 150x17          (1260, 639)          2550      
188    1646736 TkChild                                                                 254x10          (532, 230)           2540      
189    5250498 Static                                                                  149x17          (649, 1315)          2533      
190    1315112 Button                                                                  114x22          (1296, 617)          2508      
191    1777264 TkChild                                                                 123x19          (1594, 164)          2337      
192    1777658 TkChild                                                                 135x17          (459, 245)           2295      
193    1251788 TkChild                                                                 135x17          (459, 245)           2295      
194    1317540 TkChild                                                                 135x17          (861, 489)           2295      
195    1580500 TkChild                                                                 135x17          (861, 489)           2295      
196    1252282 TkChild                                                                 135x17          (861, 245)           2295      
197    1840436 TkChild                                                                 135x17          (861, 245)           2295      
198    1580016 Static                                                                  150x15          (1300, 490)          2250      
199    1580166 TkChild                                                                 225x10          (963, 474)           2250      
200    2233634 TkChild                                                                 116x19          (1085, 197)          2204      
201    2626320 TkChild                                                                 100x22          (1413, 617)          2200      
202    1053466 Button                                                                  100x22          (1413, 617)          2200      
203    4328342 TkChild                                                                 120x17          (594, 245)           2040      
204    1512582 TkChild                                                                 120x17          (594, 245)           2040      
205    1450106 Static                                                                  133x15          (460, 246)           1995      
206    1841818 Static                                                                  133x15          (862, 490)           1995      
207    1446452 Static                                                                  133x15          (862, 246)           1995      
208    2429394 TkChild                                                                 117x17          (1122, 245)          1989      
209    1252116 TkChild                                                                 100x19          (1413, 659)          1900      
210    2101510 Button                                                                  110x17          (1300, 639)          1870      
211    1709186 TkChild                                                                 100x18          (1413, 246)          1800      
212    1512120 TkChild                                                                 100x18          (1413, 246)          1800      
213    1444054 Button                                                                  100x18          (1413, 246)          1800      
214    1777790 Static                                                                  118x15          (595, 246)           1770      
215    1706100 TkChild                                                                 104x17          (996, 489)           1768      
216    1773276 TkChild                                                                 104x17          (996, 489)           1768      
217    2695386 TkChild                                                                 83x21           (1076, 164)          1743      
218    1448432 ScrollBar                                                               100x17          (1413, 660)          1700      
219    5577876 TkChild                                                                 100x17          (1413, 639)          1700      
220    1776980 Button                                                                  100x17          (1413, 639)          1700      
221    1117836 TkChild                                                                 97x17           (1202, 489)          1649      
222    4200462 TkChild                                                                 97x17           (1202, 489)          1649      
223    1709222 TkChild                                                                 96x17           (810, 245)           1632      
224     987430 TkChild                                                                 96x17           (810, 245)           1632      
225    1448952 TkChild                                                                 96x17           (714, 245)           1632      
226    1776900 TkChild                                                                 96x17           (714, 245)           1632      
227    1577950 TkChild                                                                 90x17           (961, 245)           1530      
228    1837262 TkChild                                                                 90x17           (961, 245)           1530      
229    2621780 Static                                                                  102x15          (997, 490)           1530      
230    2036014 TkChild                                                                 79x19           (1078, 165)          1501      
231    1186450 TkChild                                                                 77x19           (1079, 165)          1463      
232    1450326 Static                                                                  91x16           (1322, 684)          1456      
